,Hotel name,Hotel Description
223,Room in New Delhi,Gracious by Vishesh Hotels & Home Stay Listing 4
224,Apartment in New Delhi,Vasant Kunj Studio Apartment: Near Airport
225,Room in Noida,Roohaani
226,Room in New Delhi,"Pvt Room, Safe location , Free WIFI, 2 mins Metro"
227,Flat in New Delhi,Enbliss: Apartment in a Bungalow in South Delhi
228,Flat in New Delhi,Comfortable HomeStay with Yoga room and Breakfast
229,Apartment in New Delhi,Cineplex Galaxy- One of a kind movie experience
230,Room in New Delhi,Classic Beauty 1 bedroom no parking
231,Room in New Delhi,Spacious Bedroom with Terrace garden 2
232,Place to stay in New Delhi,Old school  [with small Balcony]
233,Room in New Delhi,F18 India bnb - Charming bedroom  - Room 4
234,"Guest suite in New Delhi, Delhi, IN",3 Room Ind. Dream Suite. A Home away from Home!!
235,Flat in New Delhi,"Minimalistic Studio apptt. ""15 minutes to airport"""
236,Apartment in New Delhi,Comfortable Studio Apartment near Airport Dwarka
237,Flat in New Delhi,1  room kitchen with tiny balcony
238,Flat in New Delhi,Private room ensuite bathroom
239,Hotel room in New Delhi,Standard AC Room with External Adjacent Bathroom
240,Home in New Delhi,#001 Spacious Room near Pulbangash Metro Station
241,Flat in New Delhi,Airport|Peacefulhuts|402|Alexa
242,Room in New Delhi,Erica's Place  1 -  Large room in South Delhi
243,Flat in New Delhi,Boutique Indian Apartment on First (Upper) Floor
244,Room in New Delhi,Classic Beauty 1 bedroom no parking
245,Room in New Delhi,Nina Kochhar's Homestay
246,Holiday home in New Delhi,Gorgeous PentHouseTerrace withJacuzzi by BoBostays
247,Room in New Delhi,The Living Room - Bnb
248,Flat in New Delhi,MES Secret Hide-Out Beautiful Terrace w/ Jacuzzi
249,Flat in New Delhi,"Stylish Apt. w/ Lift ,WiFi & King Bed★FREE PARKING"
250,Flat in New Delhi,★Sanitized ★ Lift ★TOP Floor ★Safe★2 min Metro
251,Room in New Delhi,Superior room in Safdarjung Enclave
